Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Åland,0,-0.881833333,-0.48225,-0.959916667,-0.764666667,-0.55925,-0.18275,-0.254333333,0.208916667,-0.79425,-2.421416667,-0.112583333,-1.219416667,-1.053583333
Afghanistan,0,0.28025,0.039833333,-0.581833333,0.273083333,-0.517833333,0.09775,-0.391666667,-0.281333333,-0.240083333,0.330833333,0.020166667,-1.01625,1.035791667
Africa,0,0.253083333,0.37325,0.4375,0.307833333,0.568083333,0.230833333,0.263416667,0.166583333,0.438416667,0.884416667,0.198416667,0.137833333,0.620666667
Albania,0,-0.056166667,-0.186666667,-0.12,-0.488416667,-0.9995,-0.769666667,0.143916667,0.208583333,0.097666667,0.028833333,-0.303333333,0.021666667,1.247291667
Algeria,0,0.692166667,0.23075,0.361416667,-0.11625,0.190333333,0.168583333,0.033083333,-0.082,0.122083333,1.183416667,0.111916667,-0.077416667,1.08925
American Samoa,0,0.00775,0.318083333,0.045,0.061333333,0.153666667,-0.138583333,0.232583333,-0.22475,-0.185583333,0.233583333,-0.210333333,-0.018416667,0.297416667
Andorra,0,-0.095833333,0.007666667,0.58875,-0.268916667,-0.6685,0.522416667,-0.156666667,-0.333333333,0.25475,-0.831083333,0.6825,0.028,-0.004041667
Angola,0,0.14225,0.564833333,0.705916667,0.212166667,0.605416667,-0.413583333,0.066416667,-0.073333333,-0.044166667,0.320833333,-0.331,-0.237333333,0.147208333
Anguilla,0,0.35575,0.4855,0.624666667,0.28125,0.679583333,0.5835,0.632333333,0.087666667,0.415833333,0.80325,0.475583333,0.5865,0.31025
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua And Barbuda,0,0.36175,0.469666667,0.62175,0.259083333,0.706083333,0.574333333,0.617,0.073333333,0.38525,0.843333333,0.404083333,0.541416667,0.357541667
Argentina,0,0.619916667,0.43325,0.767833333,0.691666667,0.362333333,0.810583333,-0.122416667,0.7255,0.783916667,0.328333333,0.589166667,0.9385,-0.293375
Armenia,0,0.52525,-0.313166667,-0.495083333,-0.198,-0.18275,0.135333333,-0.382916667,-0.211416667,-0.076083333,1.591333333,-0.782166667,0.432583333,1.425583333
Aruba,0,0.502916667,0.72125,0.721666667,0.378,0.64425,0.676666667,0.694833333,0.32225,0.704,0.840333333,0.385333333,0.524333333,0.41325
Asia,0,0.198333333,0.39275,0.281416667,0.23625,0.414083333,0.154333333,0.848083333,0.512416667,0.18975,0.323,0.321416667,0.17675,1.794791667
Australia,0,0.083083333,0.751166667,0.730666667,0.57725,1.187166667,0.55475,0.777083333,0.51625,0.980916667,0.3685,0.057333333,0.314833333,0.433208333
Austria,0,-0.896,-0.169666667,-0.575583333,-1.178833333,-1.475416667,-0.807333333,-0.108416667,-0.283,-0.468916667,-1.435833333,-0.229333333,-0.473583333,-0.029791667
Azerbaijan,0,0.46525,-0.19975,-0.64725,-0.0125,0.05525,0.08025,-0.117166667,-0.2665,-0.020333333,1.330666667,-0.823333333,0.45475,1.541875
Bahamas,0,0.1315,0.667083333,0.731166667,0.400583333,0.3525,0.266583333,0.585583333,0.450583333,0.32,-0.22,0.554083333,0.36725,0.5625
Bahrain,0,0.36025,0.195666667,0.299916667,0.0795,-0.087583333,0.1505,0.145333333,-0.037666667,0.239583333,0.998916667,0.033083333,0.458583333,0.854625
Baker Island,0,0.125416667,0.335916667,0.213416667,0.164083333,0.19725,0.248083333,0.165416667,-0.146666667,0.29825,0.293083333,0.013833333,0.26925,0.519583333
Bangladesh,0,0.186833333,0.230166667,0.130666667,0.236166667,0.381833333,0.6155,0.193583333,0.239333333,0.75475,0.790166667,0.054916667,0.383416667,0.817333333
Barbados,0,0.31975,0.364,0.538,0.323333333,0.775083333,0.600166667,0.464333333,0.10175,0.41825,0.942583333,0.493166667,0.444583333,0.349041667
Belarus,0,-0.817583333,-0.207916667,-1.184916667,-1.004,-0.94175,-0.91775,0.018333333,0.220916667,-0.713416667,-0.872583333,-0.321333333,-1.074666667,0.356666667
Belgium,0,-0.490916667,0.0015,-0.164,-0.581666667,-0.306416667,0.061,0.11125,-0.529333333,-0.40575,-1.6725,0.271083333,-0.682416667,-0.974125
